sessions,classical_load,repetition,core_initialization_seconds,participant_startup_seconds,federation_seconds,participant_finish_seconds,simulation_seconds,offline_validation_seconds,simulation_seconds_per_transaction,federation_seconds_per_transaction,background_packets,classical_trace_rows,completed_transactions,distinct_boundary_timestamps,final_federation_ns,final_transaction_ns,ipc_rx_bytes,ipc_rx_lines,ipc_tx_bytes,ipc_tx_lines,synchronization_rounds
4,0.7,1,0.008775463997153565,0.032986692000122275,0.10102225500304485,0.0035930369995185174,0.1463774479998392,0.005475209996802732,0.0365943619999598,0.025255563750761212,10,138,4,50,12662011,8479039,11027,209,1401,82,58
32,0.0,9,0.03957754799921531,0.029351808996580075,0.4362218730020686,0.003807916000369005,0.508959145998233,0.02539157499995781,0.01590497331244478,0.013631933531314644,0,544,32,146,52925600,52925600,44179,823,6936,374,210
32,0.7,8,0.040066950998152606,0.026161100999161135,0.5833427909965394,0.003654252999695018,0.6532250959935482,0.03732784900057595,0.02041328424979838,0.018229462218641856,68,1020,32,350,80936305,53210473,84102,1503,10395,578,414
8,0.0,8,0.010352779005188495,0.02483713100082241,0.09276619099546224,0.00770508900313871,0.13566119000461185,0.005281929996272083,0.01695764875057648,0.01159577387443278,0,136,8,38,14525600,14525600,10688,211,1746,98,54
1,0.7,6,0.002356793003855273,0.023611735996382777,0.025397755998710636,0.0036172840045765042,0.05498356900352519,0.0013509880009223707,0.05498356900352519,0.025397755998710636,4,45,1,18,5599153,3832867,3615,72,490,29,20
4,0.0,2,0.005191682997974567,0.023957895995408762,0.05004061800718773,0.0036124919934081845,0.08280268899397925,0.002729063002334442,0.02070067224849481,0.012510154501796933,0,68,4,20,8125600,8125600,5308,109,907,52,28
32,0.0,1,0.11536267199699068,0.029827407000993844,0.4035553810026613,0.0036801309979637153,0.5524255909986096,0.026116405002539977,0.01726329971870655,0.012611105656333166,0,544,32,146,52925600,52925600,44179,823,6936,374,210
1,0.0,9,0.002629292997880839,0.024271550006233156,0.0141581599964411,0.003461852000327781,0.044520855000882875,0.0008240690003731288,0.044520855000882875,0.0141581599964411,0,17,1,6,3388000,3388000,1367,32,295,17,8
4,0.0,3,0.005603387005976401,0.02641010699881008,0.05195589600043604,0.003592597997339908,0.08756198800256243,0.0033570800005691126,0.021890497000640607,0.01298897400010901,0,68,4,20,8125600,8125600,5308,109,907,52,28
8,0.7,6,0.011388066996005364,0.026631452004949097,0.1532460109956446,0.00407206700037932,0.1953375969969784,0.01096908900217386,0.0244171996246223,0.019155751374455576,19,269,8,95,23256298,14525600,21761,401,2698,155,111
