family,pattern,sessions,session_id,arrival_ns,qucl_start_ns,native_start_ns,qucl_completion_ns,native_completion_ns,qucl_waiting_ns,native_waiting_ns
bsm,idle,1,1,0,0,0,1600000,1600000,0,0
bsm,idle,4,4,0,0,0,1600000,1600000,0,0
bsm,idle,4,3,3200000,3200000,3200000,4800000,4800000,0,0
bsm,idle,4,2,6400000,6400000,6400000,8000000,8000000,0,0
bsm,idle,4,1,9600000,9600000,9600000,11200000,11200000,0,0
bsm,idle,8,8,0,0,0,1600000,1600000,0,0
bsm,idle,8,7,3200000,3200000,3200000,4800000,4800000,0,0
bsm,idle,8,6,6400000,6400000,6400000,8000000,8000000,0,0
bsm,idle,8,5,9600000,9600000,9600000,11200000,11200000,0,0
bsm,idle,8,4,12800000,12800000,12800000,14400000,14400000,0,0
bsm,idle,8,3,16000000,16000000,16000000,17600000,17600000,0,0
bsm,idle,8,2,19200000,19200000,19200000,20800000,20800000,0,0
bsm,idle,8,1,22400000,22400000,22400000,24000000,24000000,0,0
bsm,idle,16,16,0,0,0,1600000,1600000,0,0
bsm,idle,16,15,3200000,3200000,3200000,4800000,4800000,0,0
bsm,idle,16,14,6400000,6400000,6400000,8000000,8000000,0,0
bsm,idle,16,13,9600000,9600000,9600000,11200000,11200000,0,0
bsm,idle,16,12,12800000,12800000,12800000,14400000,14400000,0,0
bsm,idle,16,11,16000000,16000000,16000000,17600000,17600000,0,0
bsm,idle,16,10,19200000,19200000,19200000,20800000,20800000,0,0
bsm,idle,16,9,22400000,22400000,22400000,24000000,24000000,0,0
bsm,idle,16,8,25600000,25600000,25600000,27200000,27200000,0,0
bsm,idle,16,7,28800000,28800000,28800000,30400000,30400000,0,0
bsm,idle,16,6,32000000,32000000,32000000,33600000,33600000,0,0
bsm,idle,16,5,35200000,35200000,35200000,36800000,36800000,0,0
bsm,idle,16,4,38400000,38400000,38400000,40000000,40000000,0,0
bsm,idle,16,3,41600000,41600000,41600000,43200000,43200000,0,0
bsm,idle,16,2,44800000,44800000,44800000,46400000,46400000,0,0
bsm,idle,16,1,48000000,48000000,48000000,49600000,49600000,0,0
bsm,idle,32,32,0,0,0,1600000,1600000,0,0
bsm,idle,32,31,3200000,3200000,3200000,4800000,4800000,0,0
bsm,idle,32,30,6400000,6400000,6400000,8000000,8000000,0,0
bsm,idle,32,29,9600000,9600000,9600000,11200000,11200000,0,0
bsm,idle,32,28,12800000,12800000,12800000,14400000,14400000,0,0
bsm,idle,32,27,16000000,16000000,16000000,17600000,17600000,0,0
bsm,idle,32,26,19200000,19200000,19200000,20800000,20800000,0,0
bsm,idle,32,25,22400000,22400000,22400000,24000000,24000000,0,0
bsm,idle,32,24,25600000,25600000,25600000,27200000,27200000,0,0
bsm,idle,32,23,28800000,28800000,28800000,30400000,30400000,0,0
bsm,idle,32,22,32000000,32000000,32000000,33600000,33600000,0,0
bsm,idle,32,21,35200000,35200000,35200000,36800000,36800000,0,0
bsm,idle,32,20,38400000,38400000,38400000,40000000,40000000,0,0
bsm,idle,32,19,41600000,41600000,41600000,43200000,43200000,0,0
bsm,idle,32,18,44800000,44800000,44800000,46400000,46400000,0,0
bsm,idle,32,17,48000000,48000000,48000000,49600000,49600000,0,0
bsm,idle,32,16,51200000,51200000,51200000,52800000,52800000,0,0
bsm,idle,32,15,54400000,54400000,54400000,56000000,56000000,0,0
bsm,idle,32,14,57600000,57600000,57600000,59200000,59200000,0,0
bsm,idle,32,13,60800000,60800000,60800000,62400000,62400000,0,0
bsm,idle,32,12,64000000,64000000,64000000,65600000,65600000,0,0
bsm,idle,32,11,67200000,67200000,67200000,68800000,68800000,0,0
bsm,idle,32,10,70400000,70400000,70400000,72000000,72000000,0,0
bsm,idle,32,9,73600000,73600000,73600000,75200000,75200000,0,0
bsm,idle,32,8,76800000,76800000,76800000,78400000,78400000,0,0
bsm,idle,32,7,80000000,80000000,80000000,81600000,81600000,0,0
bsm,idle,32,6,83200000,83200000,83200000,84800000,84800000,0,0
bsm,idle,32,5,86400000,86400000,86400000,88000000,88000000,0,0
bsm,idle,32,4,89600000,89600000,89600000,91200000,91200000,0,0
bsm,idle,32,3,92800000,92800000,92800000,94400000,94400000,0,0
bsm,idle,32,2,96000000,96000000,96000000,97600000,97600000,0,0
bsm,idle,32,1,99200000,99200000,99200000,100800000,100800000,0,0
bsm,idle,64,64,0,0,0,1600000,1600000,0,0
bsm,idle,64,63,3200000,3200000,3200000,4800000,4800000,0,0
bsm,idle,64,62,6400000,6400000,6400000,8000000,8000000,0,0
bsm,idle,64,61,9600000,9600000,9600000,11200000,11200000,0,0
bsm,idle,64,60,12800000,12800000,12800000,14400000,14400000,0,0
bsm,idle,64,59,16000000,16000000,16000000,17600000,17600000,0,0
bsm,idle,64,58,19200000,19200000,19200000,20800000,20800000,0,0
bsm,idle,64,57,22400000,22400000,22400000,24000000,24000000,0,0
bsm,idle,64,56,25600000,25600000,25600000,27200000,27200000,0,0
bsm,idle,64,55,28800000,28800000,28800000,30400000,30400000,0,0
bsm,idle,64,54,32000000,32000000,32000000,33600000,33600000,0,0
bsm,idle,64,53,35200000,35200000,35200000,36800000,36800000,0,0
bsm,idle,64,52,38400000,38400000,38400000,40000000,40000000,0,0
bsm,idle,64,51,41600000,41600000,41600000,43200000,43200000,0,0
bsm,idle,64,50,44800000,44800000,44800000,46400000,46400000,0,0
bsm,idle,64,49,48000000,48000000,48000000,49600000,49600000,0,0
bsm,idle,64,48,51200000,51200000,51200000,52800000,52800000,0,0
bsm,idle,64,47,54400000,54400000,54400000,56000000,56000000,0,0
bsm,idle,64,46,57600000,57600000,57600000,59200000,59200000,0,0
bsm,idle,64,45,60800000,60800000,60800000,62400000,62400000,0,0
bsm,idle,64,44,64000000,64000000,64000000,65600000,65600000,0,0
bsm,idle,64,43,67200000,67200000,67200000,68800000,68800000,0,0
bsm,idle,64,42,70400000,70400000,70400000,72000000,72000000,0,0
bsm,idle,64,41,73600000,73600000,73600000,75200000,75200000,0,0
bsm,idle,64,40,76800000,76800000,76800000,78400000,78400000,0,0
bsm,idle,64,39,80000000,80000000,80000000,81600000,81600000,0,0
bsm,idle,64,38,83200000,83200000,83200000,84800000,84800000,0,0
bsm,idle,64,37,86400000,86400000,86400000,88000000,88000000,0,0
bsm,idle,64,36,89600000,89600000,89600000,91200000,91200000,0,0
bsm,idle,64,35,92800000,92800000,92800000,94400000,94400000,0,0
bsm,idle,64,34,96000000,96000000,96000000,97600000,97600000,0,0
bsm,idle,64,33,99200000,99200000,99200000,100800000,100800000,0,0
bsm,idle,64,32,102400000,102400000,102400000,104000000,104000000,0,0
bsm,idle,64,31,105600000,105600000,105600000,107200000,107200000,0,0
bsm,idle,64,30,108800000,108800000,108800000,110400000,110400000,0,0
bsm,idle,64,29,112000000,112000000,112000000,113600000,113600000,0,0
bsm,idle,64,28,115200000,115200000,115200000,116800000,116800000,0,0
bsm,idle,64,27,118400000,118400000,118400000,120000000,120000000,0,0
bsm,idle,64,26,121600000,121600000,121600000,123200000,123200000,0,0
bsm,idle,64,25,124800000,124800000,124800000,126400000,126400000,0,0
bsm,idle,64,24,128000000,128000000,128000000,129600000,129600000,0,0
bsm,idle,64,23,131200000,131200000,131200000,132800000,132800000,0,0
bsm,idle,64,22,134400000,134400000,134400000,136000000,136000000,0,0
bsm,idle,64,21,137600000,137600000,137600000,139200000,139200000,0,0
bsm,idle,64,20,140800000,140800000,140800000,142400000,142400000,0,0
bsm,idle,64,19,144000000,144000000,144000000,145600000,145600000,0,0
bsm,idle,64,18,147200000,147200000,147200000,148800000,148800000,0,0
bsm,idle,64,17,150400000,150400000,150400000,152000000,152000000,0,0
bsm,idle,64,16,153600000,153600000,153600000,155200000,155200000,0,0
bsm,idle,64,15,156800000,156800000,156800000,158400000,158400000,0,0
bsm,idle,64,14,160000000,160000000,160000000,161600000,161600000,0,0
bsm,idle,64,13,163200000,163200000,163200000,164800000,164800000,0,0
bsm,idle,64,12,166400000,166400000,166400000,168000000,168000000,0,0
bsm,idle,64,11,169600000,169600000,169600000,171200000,171200000,0,0
bsm,idle,64,10,172800000,172800000,172800000,174400000,174400000,0,0
bsm,idle,64,9,176000000,176000000,176000000,177600000,177600000,0,0
bsm,idle,64,8,179200000,179200000,179200000,180800000,180800000,0,0
bsm,idle,64,7,182400000,182400000,182400000,184000000,184000000,0,0
bsm,idle,64,6,185600000,185600000,185600000,187200000,187200000,0,0
bsm,idle,64,5,188800000,188800000,188800000,190400000,190400000,0,0
bsm,idle,64,4,192000000,192000000,192000000,193600000,193600000,0,0
bsm,idle,64,3,195200000,195200000,195200000,196800000,196800000,0,0
bsm,idle,64,2,198400000,198400000,198400000,200000000,200000000,0,0
bsm,idle,64,1,201600000,201600000,201600000,203200000,203200000,0,0
bsm,saturated,1,1,0,0,0,1600000,1600000,0,0
bsm,saturated,4,4,0,0,0,1600000,1600000,0,0
bsm,saturated,4,3,800000,1600000,1600000,3200000,3200000,800000,800000
bsm,saturated,4,2,1600000,3200000,3200000,4800000,4800000,1600000,1600000
bsm,saturated,4,1,2400000,4800000,4800000,6400000,6400000,2400000,2400000
bsm,saturated,8,8,0,0,0,1600000,1600000,0,0
bsm,saturated,8,7,800000,1600000,1600000,3200000,3200000,800000,800000
bsm,saturated,8,6,1600000,3200000,3200000,4800000,4800000,1600000,1600000
bsm,saturated,8,5,2400000,4800000,4800000,6400000,6400000,2400000,2400000
bsm,saturated,8,4,3200000,6400000,6400000,8000000,8000000,3200000,3200000
bsm,saturated,8,3,4000000,8000000,8000000,9600000,9600000,4000000,4000000
bsm,saturated,8,2,4800000,9600000,9600000,11200000,11200000,4800000,4800000
bsm,saturated,8,1,5600000,11200000,11200000,12800000,12800000,5600000,5600000
bsm,saturated,16,16,0,0,0,1600000,1600000,0,0
bsm,saturated,16,15,800000,1600000,1600000,3200000,3200000,800000,800000
bsm,saturated,16,14,1600000,3200000,3200000,4800000,4800000,1600000,1600000
bsm,saturated,16,13,2400000,4800000,4800000,6400000,6400000,2400000,2400000
bsm,saturated,16,12,3200000,6400000,6400000,8000000,8000000,3200000,3200000
bsm,saturated,16,11,4000000,8000000,8000000,9600000,9600000,4000000,4000000
bsm,saturated,16,10,4800000,9600000,9600000,11200000,11200000,4800000,4800000
bsm,saturated,16,9,5600000,11200000,11200000,12800000,12800000,5600000,5600000
bsm,saturated,16,8,6400000,12800000,12800000,14400000,14400000,6400000,6400000
bsm,saturated,16,7,7200000,14400000,14400000,16000000,16000000,7200000,7200000
bsm,saturated,16,6,8000000,16000000,16000000,17600000,17600000,8000000,8000000
bsm,saturated,16,5,8800000,17600000,17600000,19200000,19200000,8800000,8800000
bsm,saturated,16,4,9600000,19200000,19200000,20800000,20800000,9600000,9600000
bsm,saturated,16,3,10400000,20800000,20800000,22400000,22400000,10400000,10400000
bsm,saturated,16,2,11200000,22400000,22400000,24000000,24000000,11200000,11200000
bsm,saturated,16,1,12000000,24000000,24000000,25600000,25600000,12000000,12000000
bsm,saturated,32,32,0,0,0,1600000,1600000,0,0
bsm,saturated,32,31,800000,1600000,1600000,3200000,3200000,800000,800000
bsm,saturated,32,30,1600000,3200000,3200000,4800000,4800000,1600000,1600000
bsm,saturated,32,29,2400000,4800000,4800000,6400000,6400000,2400000,2400000
bsm,saturated,32,28,3200000,6400000,6400000,8000000,8000000,3200000,3200000
bsm,saturated,32,27,4000000,8000000,8000000,9600000,9600000,4000000,4000000
bsm,saturated,32,26,4800000,9600000,9600000,11200000,11200000,4800000,4800000
bsm,saturated,32,25,5600000,11200000,11200000,12800000,12800000,5600000,5600000
bsm,saturated,32,24,6400000,12800000,12800000,14400000,14400000,6400000,6400000
bsm,saturated,32,23,7200000,14400000,14400000,16000000,16000000,7200000,7200000
bsm,saturated,32,22,8000000,16000000,16000000,17600000,17600000,8000000,8000000
bsm,saturated,32,21,8800000,17600000,17600000,19200000,19200000,8800000,8800000
bsm,saturated,32,20,9600000,19200000,19200000,20800000,20800000,9600000,9600000
bsm,saturated,32,19,10400000,20800000,20800000,22400000,22400000,10400000,10400000
bsm,saturated,32,18,11200000,22400000,22400000,24000000,24000000,11200000,11200000
bsm,saturated,32,17,12000000,24000000,24000000,25600000,25600000,12000000,12000000
bsm,saturated,32,16,12800000,25600000,25600000,27200000,27200000,12800000,12800000
bsm,saturated,32,15,13600000,27200000,27200000,28800000,28800000,13600000,13600000
bsm,saturated,32,14,14400000,28800000,28800000,30400000,30400000,14400000,14400000
bsm,saturated,32,13,15200000,30400000,30400000,32000000,32000000,15200000,15200000
bsm,saturated,32,12,16000000,32000000,32000000,33600000,33600000,16000000,16000000
bsm,saturated,32,11,16800000,33600000,33600000,35200000,35200000,16800000,16800000
bsm,saturated,32,10,17600000,35200000,35200000,36800000,36800000,17600000,17600000
bsm,saturated,32,9,18400000,36800000,36800000,38400000,38400000,18400000,18400000
bsm,saturated,32,8,19200000,38400000,38400000,40000000,40000000,19200000,19200000
bsm,saturated,32,7,20000000,40000000,40000000,41600000,41600000,20000000,20000000
bsm,saturated,32,6,20800000,41600000,41600000,43200000,43200000,20800000,20800000
bsm,saturated,32,5,21600000,43200000,43200000,44800000,44800000,21600000,21600000
bsm,saturated,32,4,22400000,44800000,44800000,46400000,46400000,22400000,22400000
bsm,saturated,32,3,23200000,46400000,46400000,48000000,48000000,23200000,23200000
bsm,saturated,32,2,24000000,48000000,48000000,49600000,49600000,24000000,24000000
bsm,saturated,32,1,24800000,49600000,49600000,51200000,51200000,24800000,24800000
bsm,saturated,64,64,0,0,0,1600000,1600000,0,0
bsm,saturated,64,63,800000,1600000,1600000,3200000,3200000,800000,800000
bsm,saturated,64,62,1600000,3200000,3200000,4800000,4800000,1600000,1600000
bsm,saturated,64,61,2400000,4800000,4800000,6400000,6400000,2400000,2400000
bsm,saturated,64,60,3200000,6400000,6400000,8000000,8000000,3200000,3200000
bsm,saturated,64,59,4000000,8000000,8000000,9600000,9600000,4000000,4000000
bsm,saturated,64,58,4800000,9600000,9600000,11200000,11200000,4800000,4800000
bsm,saturated,64,57,5600000,11200000,11200000,12800000,12800000,5600000,5600000
bsm,saturated,64,56,6400000,12800000,12800000,14400000,14400000,6400000,6400000
bsm,saturated,64,55,7200000,14400000,14400000,16000000,16000000,7200000,7200000
